Time - Sound Pressure	Amplitude - Sound Pressure
0	0.7
39.1u	0.7
78.1u	0.8
117.2u	0.7
156.2u	0.8
195.3u	0.8
234.4u	0.7
273.4u	0.7
312.5u	0.7
351.6u	0.7
390.6u	0.7
429.7u	0.7
468.7u	0.7
507.8u	0.8
546.9u	0.7
585.9u	0.7
625.0u	0.7
664.1u	0.8
703.1u	0.8
742.2u	0.8
781.2u	0.8
820.3u	0.8
859.4u	0.9
898.4u	0.8
937.5u	0.8
976.6u	0.8
1.0m	0.8
1.1m	0.9
1.1m	0.9
1.1m	1
1.2m	0.9
1.2m	0.9
1.2m	1
1.3m	1
1.3m	1
1.4m	1
1.4m	1
1.4m	1
1.5m	1
1.5m	1
1.6m	0.9
1.6m	1
1.6m	1
1.7m	0.9
1.7m	0.9
1.8m	1
1.8m	0.9
1.8m	0.9
1.9m	1
1.9m	1
2.0m	1
2.0m	1
2.0m	1
2.1m	1.1
2.1m	1.1
2.1m	1.1
2.2m	1.1
2.2m	1.1
2.3m	1.1
2.3m	1.1
2.3m	1.1
2.4m	1.1
2.4m	1
2.5m	1.1
2.5m	1.1
2.5m	1
2.6m	1
2.6m	1
2.7m	1
2.7m	1
2.7m	1
2.8m	1
2.8m	1
2.9m	1
2.9m	1
2.9m	1
3.0m	1
3.0m	1
3.0m	1
3.1m	1
3.1m	1
3.2m	1
3.2m	1
3.2m	1.1
3.3m	1.1
3.3m	1.1
3.4m	1.1
3.4m	1.1
3.4m	1.1
3.5m	1.1
3.5m	1.1
3.6m	1.1
3.6m	1.1
3.6m	1.1
3.7m	1.1
3.7m	1.1
3.7m	1.1
3.8m	1.1
3.8m	1.1
3.9m	1.2
3.9m	1.1
3.9m	1.1
4.0m	1.1
4.0m	1.1
4.1m	1.1
4.1m	1.1
4.1m	1.1
4.2m	1.1
4.2m	1.1
4.3m	1.1
4.3m	1.1
4.3m	1.1
4.4m	1.1
4.4m	1.1
4.5m	1.1
4.5m	1.1
4.5m	1.1
4.6m	1.1
4.6m	1.2
4.6m	1.2
4.7m	1.2
4.7m	1.2
4.8m	1.2
4.8m	1.2
4.8m	1.2
4.9m	1.2
4.9m	1.2
5.0m	1.2
5.0m	1.3
5.0m	1.3
5.1m	1.3
5.1m	1.3
5.2m	1.2
5.2m	1.2
5.2m	1.3
5.3m	1.2
5.3m	1.3
5.4m	1.3
5.4m	1.2
5.4m	1.2
5.5m	1.2
5.5m	1.2
5.5m	1.2
5.6m	1.2
5.6m	1.2
5.7m	1.2
5.7m	1.2
5.7m	1.2
5.8m	1.2
5.8m	1.2
5.9m	1.2
5.9m	1.3
5.9m	1.2
6.0m	1.2
6.0m	1.2
6.1m	1.2
6.1m	1.1
6.1m	1.2
6.2m	1.2
6.2m	1.2
6.2m	1.2
6.3m	1.2
6.3m	1.2
6.4m	1.2
6.4m	1.3
6.4m	1.3
6.5m	1.3
6.5m	1.2
6.6m	1.2
6.6m	1.2
6.6m	1.2
6.7m	1.1
6.7m	1.2
6.8m	1.2
6.8m	1.3
6.8m	1.3
6.9m	1.3
6.9m	1.3
7.0m	1.2
7.0m	1.2
7.0m	1.2
7.1m	1.1
7.1m	1.1
7.1m	1
7.2m	1
7.2m	1.1
7.3m	1
7.3m	1
7.3m	1
7.4m	1.1
7.4m	1.1
7.5m	1.1
7.5m	1.1
7.5m	1.1
7.6m	1.1
7.6m	1.1
7.7m	1.1
7.7m	1.1
7.7m	1.1
7.8m	1.1
7.8m	1.1
7.9m	1.1
7.9m	1.1
7.9m	1
8.0m	1
8.0m	1
8.0m	1.1
8.1m	1.1
8.1m	1.1
8.2m	1.1
8.2m	1.1
8.2m	1.1
8.3m	1.1
8.3m	1.1
8.4m	1.1
8.4m	1.1
8.4m	1.1
8.5m	1.1
8.5m	1.1
8.6m	1.1
8.6m	1.1
8.6m	1.1
8.7m	1.1
8.7m	1.1
8.7m	1.1
8.8m	1.1
8.8m	1.1
8.9m	1.2
8.9m	1.2
8.9m	1.2
9.0m	1.2
9.0m	1.3
9.1m	1.3
9.1m	1.3
9.1m	1.3
9.2m	1.3
9.2m	1.3
9.3m	1.2
9.3m	1.2
9.3m	1.2
9.4m	1.2
9.4m	1.2
9.5m	1.2
9.5m	1.2
9.5m	1.2
9.6m	1.2
9.6m	1.2
9.6m	1.2
9.7m	1.2
9.7m	1.2
9.8m	1.2
9.8m	1.2
9.8m	1.2
9.9m	1.2
9.9m	1.2
10.0m	1.2
10.0m	1.2
10.0m	1.2
10.1m	1.3
10.1m	1.3
10.2m	1.3
10.2m	1.3
10.2m	1.2
10.3m	1.2
10.3m	1.2
10.4m	1.2
10.4m	1.2
10.4m	1.2
10.5m	1.2
10.5m	1.2
10.5m	1.2
10.6m	1.2
10.6m	1.2
10.7m	1.1
10.7m	1.1
10.7m	1.1
10.8m	1.1
10.8m	1.1
10.9m	1.1
10.9m	1.2
10.9m	1.2
11.0m	1.2
11.0m	1.2
11.1m	1.2
11.1m	1.2
11.1m	1.2
11.2m	1.2
11.2m	1.1
11.2m	1.1
11.3m	1.1
11.3m	1.1
11.4m	1.1
11.4m	1.1
11.4m	1.1
11.5m	1
11.5m	1
11.6m	1
11.6m	1
11.6m	1
11.7m	1
11.7m	1
11.8m	1.1
11.8m	1.1
11.8m	1.1
11.9m	1.1
11.9m	1.1
12.0m	1.1
12.0m	1.1
12.0m	1.1
12.1m	1.1
12.1m	1.1
12.1m	1.1
12.2m	1.1
12.2m	1.1
12.3m	1.1
12.3m	1.1
12.3m	1.1
12.4m	1.1
12.4m	1.1
12.5m	1.1
12.5m	1.1
12.5m	1.1
12.6m	1.1
12.6m	1.1
12.7m	1.1
12.7m	1.1
12.7m	1.2
12.8m	1.2
12.8m	1.2
12.9m	1.2
12.9m	1.2
12.9m	1.1
13.0m	1.1
13.0m	1.2
13.0m	1.2
13.1m	1.2
13.1m	1.2
13.2m	1.2
13.2m	1.1
13.2m	1.2
13.3m	1.2
13.3m	1.3
13.4m	1.2
13.4m	1.2
13.4m	1.2
13.5m	1.2
13.5m	1.2
13.6m	1.2
13.6m	1.2
13.6m	1.2
13.7m	1.2
13.7m	1.3
13.7m	1.3
13.8m	1.3
13.8m	1.3
13.9m	1.3
13.9m	1.3
13.9m	1.3
14.0m	1.3
14.0m	1.3
14.1m	1.2
14.1m	1.2
14.1m	1.2
14.2m	1.2
14.2m	1.2
14.3m	1.2
14.3m	1.2
14.3m	1.2
14.4m	1.2
14.4m	1.2
14.5m	1.2
14.5m	1.2
14.5m	1.2
14.6m	1.2
14.6m	1.2
14.6m	1.2
14.7m	1.2
14.7m	1.2
14.8m	1.2
14.8m	1.1
14.8m	1.1
14.9m	1.1
14.9m	1.1
15.0m	1.1
15.0m	1.1
15.0m	1.2
15.1m	1.2
15.1m	1.2
15.2m	1.2
15.2m	1.2
15.2m	1.2
15.3m	1.3
15.3m	1.2
15.4m	1.2
15.4m	1.2
15.4m	1.1
15.5m	1.2
15.5m	1.2
15.5m	1.2
15.6m	1.2
15.6m	1.1
15.7m	1.2
15.7m	1.2
15.7m	1.2
15.8m	1.2
15.8m	1.2
15.9m	1.2
15.9m	1.2
15.9m	1.2
16.0m	1.2
16.0m	1.2
16.1m	1.1
16.1m	1.1
16.1m	1.1
16.2m	1.1
16.2m	1.1
16.2m	1.1
16.3m	1.1
16.3m	1.1
16.4m	1.1
16.4m	1.1
16.4m	1.1
16.5m	1.1
16.5m	1.1
16.6m	1.1
16.6m	1.1
16.6m	1.1
16.7m	1.1
16.7m	1.1
16.8m	1.1
16.8m	1.1
16.8m	1.1
16.9m	1.1
16.9m	1
17.0m	1.1
17.0m	1.1
17.0m	1.1
17.1m	1.1
17.1m	1.2
17.1m	1.2
17.2m	1.2
17.2m	1.2
17.3m	1.2
17.3m	1.1
17.3m	1.2
17.4m	1.2
17.4m	1.2
17.5m	1.1
17.5m	1.1
17.5m	1.1
17.6m	1.1
17.6m	1
17.7m	1
17.7m	1
17.7m	1
17.8m	1.1
17.8m	1.1
17.9m	1.2
17.9m	1.2
17.9m	1.2
18.0m	1.2
18.0m	1.2
18.0m	1.2
18.1m	1.1
18.1m	1.1
18.2m	1.1
18.2m	1.1
18.2m	1.1
18.3m	1.1
18.3m	1.1
18.4m	1.1
18.4m	1.1
18.4m	1.1
18.5m	1.1
18.5m	1.2
18.6m	1.2
18.6m	1.2
18.6m	1.2
18.7m	1.2
18.7m	1.2
18.7m	1.1
18.8m	1.1
18.8m	1.1
18.9m	1.1
18.9m	1.1
18.9m	1.1
19.0m	1.1
19.0m	1.2
19.1m	1.2
19.1m	1.2
19.1m	1.2
19.2m	1.1
19.2m	1.2
19.3m	1.1
19.3m	1.1
19.3m	1.2
19.4m	1.2
19.4m	1.1
19.5m	1.1
19.5m	1.1
19.5m	1.1
19.6m	1.1
19.6m	1
19.6m	1
19.7m	1.1
19.7m	1.1
19.8m	1.1
19.8m	1.2
19.8m	1.2
19.9m	1.2
19.9m	1.3
20.0m	1.3
20.0m	1.2
20.0m	1.3
20.1m	1.3
20.1m	1.2
20.2m	1.2
20.2m	1.2
20.2m	1.2
20.3m	1.2
20.3m	1.2
20.4m	1.2
20.4m	1.2
20.4m	1.2
20.5m	1.2
20.5m	1.3
20.5m	1.3
20.6m	1.3
20.6m	1.3
20.7m	1.3
20.7m	1.3
20.7m	1.2
20.8m	1.2
20.8m	1.2
20.9m	1.2
20.9m	1.2
20.9m	1.2
21.0m	1.2
21.0m	1.3
21.1m	1.3
21.1m	1.3
21.1m	1.3
21.2m	1.3
21.2m	1.3
21.2m	1.3
21.3m	1.3
21.3m	1.3
21.4m	1.3
21.4m	1.3
21.4m	1.3
21.5m	1.3
21.5m	1.2
21.6m	1.2
21.6m	1.2
21.6m	1.2
21.7m	1.2
21.7m	1.2
21.8m	1.2
21.8m	1.1
21.8m	1.1
21.9m	1.1
21.9m	1.1
22.0m	1.1
22.0m	1.2
22.0m	1.2
22.1m	1.3
22.1m	1.3
22.1m	1.3
22.2m	1.2
22.2m	1.2
22.3m	1.2
22.3m	1.1
22.3m	1.1
22.4m	1
22.4m	1
22.5m	1
22.5m	1
22.5m	1
22.6m	1
22.6m	1.1
22.7m	1
22.7m	1
22.7m	1
22.8m	1
22.8m	1
22.9m	1
22.9m	1.1
22.9m	1.1
23.0m	1
23.0m	1.1
23.0m	1
23.1m	1
23.1m	1
23.2m	0.9
23.2m	1
23.2m	1
23.3m	1
23.3m	1
23.4m	1
23.4m	1
